neighbourhood_name,average_population_age,population_density,ageing_rate,average_disposable_income_per_person,average_annual_net_household_income,average_household_size,registered_unemployment_rate,population_growth_rate,social_welfare_and_equality_vulnerability_index,economy_and_employment_vulnerability_index,education_and_culture_vulnerability_index,urban_environment_and_mobility_vulnerability_index,health_vulnerability_index,percentage_residential_properties,percentage_of_population_25_plus_either_higher_ed_or_technical
Abrantes,42.52699209,217.8128595,16.76335327,12515.0,33622.23,2.854972968,4.75,-4.858374384,7.435267188,10.6795205,13.15590765,5.137581236,6.517903051,6.094808126410835,21.360867986931794
Acacias,47.95211789,340.4695361,26.54420836,24444.0,52933.24,2.269051322,3.36,-1.119320688,6.838956625,4.9848785,6.82011066,6.257348237,6.147338816,2.0694752402069474,56.35457575657569
Adelfas,45.79960578,298.7203496,23.09592641,24543.0,53793.35,2.332924586,2.83,-1.019626489,6.368323563,5.089996,3.952607996,6.197105237,6.897477647,1.444043321299639,56.86997760505862
Alameda de Osuna,46.59438994,98.75941515,26.51069182,24417.0,60255.0,2.601780338,2.43,-0.960566229,7.385541813,4.3198675,3.691304996,5.384811544,6.682053148,2.8513238289205702,55.96513407412336
Almagro,46.35689276,213.7754558,24.43977591,33425.0,78233.57,2.328984157,2.08,-2.912966252,8.209531188,5.1045655,5.823923216,8.552989701,8.523912307,0.1271725307333616,67.58971811747175
Almenara,43.54146949,246.2977787,18.21087588,16415.0,36303.6,2.422079228,4.2,-4.382039154,5.784870813,9.2380835,9.208788435,7.011487392,6.958181647,7.428940568475452,36.37659731756257
Almendrales,41.66801103,320.40764,14.82425712,12826.0,33822.43,2.819917501,4.67,-4.674835867,8.817064625,12.138589,10.8253451,7.541764392,6.842715647,6.474820143884892,23.36805940374598
Aluche,48.2023328,244.778581,27.91237151,15162.0,35834.82,2.484170719,4.13,-3.518711134,6.619567125,8.6799925,8.875167102,7.129954161,6.526086648,9.598976109215016,26.82922440165557
Amposta,42.34008616,282.0097245,16.41193969,10787.0,27218.54,2.68493528,5.91,-6.601324503,6.705769375,11.7125975,11.09616777,4.726501928,8.347487641,8.478802992518704,14.554118447923758
Apóstol Santiago,45.92160081,132.9765165,21.81542735,18213.0,44215.68,2.617214604,3.6,-2.602551396,5.435825625,6.904457,5.283034217,5.493141698,8.807737806,9.206349206349207,38.008573970719084
