E. Edificación y Vivienda
Mercado de la vivienda
Compra-Venta de Viviendas
Estadística registral inmobiliaria: datos anuales por distritos
4.2.1.6. Precio medio  declarado de la vivienda (euros/m2) por Distrito y Barrio según Tipo de vivienda
;;2007;2007;2007;2007;2007;2007;2007;2007;2007;2008;2008;2008;2008;2008;2008;2008;2008;2008;2009;2009;2009;2009;2009;2009;2009;2009;2009;2010;2010;2010;2010;2010;2010;2010;2010;2010;2011;2011;2011;2011;2011;2011;2011;2011;2011;2012;2012;2012;2012;2012;2012;2012;2012;2012;2013;2013;2013;2013;2013;2013;2013;2013;2013;2014;2014;2014;2014;2014;2014;2014;2014;2014;2015;2015;2015;2015;2015;2015;2015;2015;2015;2016;2016;2016;2016;2016;2016;2016;2016;2016;2017;2017;2017;2017;2017;2017;2017;2017;2017;2018;2018;2018;2018;2018;2018;2018;2018;2018;2019;2019;2019;2019;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020;2020;2020;2020;2020;2021;2021;2021;2021;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2022;2022;2022;2022;2023;2023;2023;2023;2023;2023;2023;2023;2023;2024;2024;2024;2024;2024;2024;2024;2024;2024;2025;2025;2025;2025;2025;2025;2025;2025;2025
;;Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100);Euros/m2;Euros/m2;Euros/m2;Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Madrid=100);Números índice (Total=100);Números índice (Total=100);Números índice (Total=100)
;;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas;Total;Nuevas;Usadas
Ciudad de Madrid;Ciudad de Madrid;"3.746,27";"3.479,98";"3.859,89";100;100;100;100;"92,89";"103,03";"3.543,44";"3.343,39";"3.687,19";100;100;100;100;"94,35";"104,06";"3.280,82";"3.268,98";"3.288,29";100;100;100;100;"99,64";"100,23";"3.244,74";"3.120,05";"3.301,14";100;100;100;100;"96,16";"101,74";"3.080,6";"2.963,91";"3.132,89";100;100;100;100;"96,21";"101,7";"2.613,45";"2.578,03";"2.631,23";100;100;100;100;"98,64";"100,68";"2.348,25";"2.270,1";"2.383,19";100;100;100;100;"96,67";"101,49";"2.341,45";"2.176,06";"2.405,57";100;100;100;100;"92,94";"102,74";"2.404,3";"2.138,21";"2.461,14";100;100;100;100;"88,93";"102,36";"2.586,31";"2.372,94";"2.637,78";100;100;100;100;"91,75";"101,99";"2.874,31";"2.559,99";"2.944,66";100;100;100;100;"89,06";"102,45";"3.231,86";"2.624,77";"3.387,14";100;100;100;100;"81,22";"104,8";"3.365,64";"2.913,58";"3.473,29";100;100;100;100;"86,57";"103,2";"3.481,61";"3.176,5";"3.572,02";100;100;100;100;"91,24";"102,6";"3.641,57";"3.611,8";"3.648,73";100;100;100;100;"99,18";"100,2";"3.900,4";"3.548,38";"3.966,11";100;100;100;100;"90,97";"101,68";"4.060,37";"3.977,34";"4.076,59";100;100;100;100;"97,96";"100,4";"4.526,66";"4.442,58";"4.544,27";100;100;100;100;"98,14";"100,39";"5.285,72";"5.041,46";"5.333,59";100;100;100;100;"95,38";"100,91"
01. Centro;01. Centro;"4.798,92";"4.988,4";"4.768,62";"128,1";"143,35";"123,54";100;"103,95";"99,37";"4.279,85";"4.632,28";"4.236,83";"120,78";"138,55";"114,91";100;"108,23";"98,99";"3.777,96";"4.736,3";"3.695,33";"115,15";"144,89";"112,38";100;"125,37";"97,81";"3.663,4";"3.947,97";"3.636,68";"112,9";"121,67";"112,08";100;"107,77";"99,27";"3.646,95";"4.650,84";"3.491,55";"118,38";"150,97";"113,34";100;"150,97";"113,34";"3.183,74";"3.956,8";"3.075,27";"121,82";"153,48";"116,88";100;"124,28";"96,59";"2.853,42";"3.728,16";2.732;"121,51";"164,23";"114,64";100;"130,66";"95,74";"2.740,91";"3.368,64";"2.694,5";"117,06";"154,8";"112,01";100;"122,9";"98,31";"3.002,18";"3.017,37";"3.001,45";89;"89,25";"3.001,45";100;"100,51";"99,98";"3.520,6";"3.352,74";"3.524,36";"136,12";"141,29";"133,61";100;"95,23";"100,11";"4.118,55";"4.088,19";"4.119,63";"143,29";"159,7";"139,9";100;"99,26";"100,03";"4.809,31";"4.521,91";"4.817,37";"148,81";"139,92";"149,06";100;"94,02";"100,17";"5.279,93";"6.653,36";"5.103,94";"156,88";"228,36";"146,95";100;"126,01";"96,67";"5.223,73";"5.468,63";"5.194,16";"150,04";"172,16";"145,41";100;"104,69";"99,43";"4.935,9";"5.906,74";"4.903,14";"135,54";"163,54";"134,38";100;"119,67";"99,34";"5.466,32";"5.968,17";"5.443,39";"140,15";"168,19";"137,25";100;"109,18";"99,58";"5.712,09";"5.943,84";"5.705,23";"140,68";"149,44";"139,95";100;"104,06";"99,88";"6.268,72";"6.092,62";"6.279,87";"138,48";"137,14";"138,19";100;"97,19";"100,18";"7.147,7";"6.814,13";"7.171,36";"135,23";"135,16";"134,46";100;"95,33";"100,33"
01. Centro;011. Palacio;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;"3.268,58";"3.337,43";"3.257,02";"126,38";"140,65";"123,48";100;"102,11";"99,65";"4.178,57";"4.019,71";"4.221,07";"145,38";"157,02";"143,35";100;"96,2";"101,02";"4.255,3";"5.159,73";"4.105,46";"131,67";"159,65";"127,03";100;"121,25";"96,48";"5.075,34";"5.281,56";"5.044,74";"150,8";"181,27";"145,24";100;"104,06";"99,4";"5.034,49";"5.082,76";"5.020,78";"144,6";"160,01";"140,56";100;"100,96";"99,73";"4.851,23";"5.139,22";"4.797,38";"133,22";"142,29";"131,48";100;"105,94";"98,89";"5.410,14";"6.166,77";"5.298,63";"138,71";"173,79";"133,6";100;"113,99";"97,94";"5.659,44";"5.399,32";"5.694,12";"139,38";"135,75";"139,68";100;"95,4";"100,61";"6.399,01";"6.657,04";"6.355,2";"141,36";"149,85";"139,85";100;"104,03";"99,32";"6.895,15";"6.421,28";"6.954,58";"130,45";"127,37";"130,39";100;"93,13";"100,86"
01. Centro;012. Embajadores;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;"3.046,56";0;"3.040,69";"117,8";0;"115,27";100;0;"99,81";"3.538,13";0;"3.547,23";"123,09";0;"120,46";100;0;"100,26";"4.182,95";0;"4.187,39";"129,43";0;"129,57";100;0;"100,11";"4.481,49";"5.226,91";"4.408,11";"133,15";"179,4";"126,91";100;"116,63";"98,36";"4.585,04";"5.464,51";"4.496,74";"131,69";"172,03";"125,89";100;"119,18";"98,07";"4.300,67";0;"4.305,98";"118,1";0;"118,01";100;0;"100,12";"4.624,29";"3.894,51";"4.648,92";"118,56";"109,75";"117,22";100;"84,22";"100,53";"4.825,25";0;"4.831,28";"118,84";0;"118,51";100;0;"100,12";"5.229,59";"5.267,57";5.227;"115,53";"118,57";"115,02";100;"100,73";"99,95";"6.054,75";"6.153,41";"6.044,57";"114,55";"122,06";"113,33";100;"101,63";"99,83"
01. Centro;013. Cortes;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;"3.676,52";0;"3.676,52";"142,15";0;"139,38";100;0;100;"4.201,77";0;"4.201,77";"146,18";0;"142,69";100;0;100;"5.303,59";0;"5.303,59";"164,1";0;"164,1";100;0;100;"5.494,3";0;"5.494,3";"163,25";0;"158,19";100;0;100;"4.989,95";0;"4.989,95";"143,32";0;"139,7";100;0;100;"5.049,77";0;"5.049,77";"138,67";0;"138,4";100;0;100;"5.729,37";0;"5.729,37";"146,89";0;"144,46";100;0;100;"6.099,39";0;"6.099,39";"150,22";0;"149,62";100;0;100;"6.300,68";0;"6.282,69";"139,19";0;"138,26";100;0;"99,71";"7.246,75";0;"7.246,75";"137,1";0;"135,87";100;0;100
01. Centro;014. Justicia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;"4.359,88";0;"4.346,32";"168,58";0;"164,77";100;0;"99,69";"5.245,82";0;"5.245,82";"182,51";0;"178,15";100;0;100;"5.882,35";0;"5.882,35";"182,01";0;"182,01";100;0;100;"5.950,71";0;"5.943,46";"176,81";0;"171,12";100;0;"99,88";"6.229,04";0;"6.229,04";"178,91";0;"174,38";100;0;100;"6.166,2";0;"6.166,2";"169,33";0;169;100;0;100;"6.919,11";0;"6.919,11";"177,39";0;"174,46";100;0;100;"7.568,22";0;"7.568,22";"186,39";0;"185,65";100;0;100;"7.913,82";0;"7.913,82";"174,83";0;"174,15";100;0;100;"9.541,9";"9.505,61";"9.544,48";"180,52";"188,55";"178,95";100;"99,62";"100,03"
01. Centro;015. Universidad;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;"3.604,78";0;"3.612,49";"139,38";0;"136,95";100;0;"100,21";"4.191,85";"4.559,95";"4.174,8";"145,84";"178,12";"141,78";100;"108,78";"99,59";"5.017,09";0;"5.039,18";"155,24";0;"155,92";100;0;"100,44";"5.998,24";"7.664,88";"5.453,38";"178,22";"263,07";"157,01";100;"127,79";"90,92";"5.132,6";"5.435,9";"5.067,92";"147,42";"171,13";"141,88";100;"105,91";"98,74";"4.977,11";"7.145,13";"4.848,13";"136,67";"197,83";"132,87";100;"143,56";"97,41";"5.753,05";"7.429,03";"5.621,09";"147,5";"209,36";"141,73";100;"129,13";"97,71";"5.710,69";"8.194,32";"5.640,53";"140,64";"206,03";"138,36";100;"143,49";"98,77";"6.301,63";"6.615,47";"6.276,59";"139,21";"148,91";"138,12";100;"104,98";"99,6";"7.135,43";"6.682,45";"7.149,96";"134,99";"132,55";"134,06";100;"93,65";"100,2"
