neighbourhood_name,mean_average_price_euros_per_m2
Abrantes,2912.9
Acacias,5736.45
Adelfas,5741.86
Alameda de Osuna,5052.01
Almagro,10795.41
Almenara,4987.49
Almendrales,4323.83
Aluche,3360.3
Amposta,2544.1
Apóstol Santiago,4162.46
Arapiles,7591.52
Aravaca,5644.82
Arcos,3145.08
Arganzuela,6086.21
Argüelles,7554.87
Atalaya,7800.28
Atocha,6810.36
Barajas,4611.65
Bellas Vistas,5223.92
Berruguete,4789.99
Buenavista,3291.57
Butarque,3143.01
Campamento,3295.84
Canillas,4785.95
Canillejas,3409.64
Carabanchel,3345.97
Casa de Campo,5378.62
Casco Histórico de Barajas,3962.41
Casco Histórico de Vallecas,2915.21
Casco Histórico de Vicálvaro,3355.2
Castellana,11685.39
Castilla,5913.07
Castillejos,6438
Centro,7147.7
Chamartín,7427.12
Chamberí,8238.24
Chopera,5473.88
Ciudad Jardín,7558.9
Ciudad Lineal,4677.43
Ciudad Universitaria,5822.75
Colina,6519.78
Comillas,4105.51
Corralejos,4890.3
Cortes,7246.75
Costillares,5957.08
Cuatro Caminos,6496.82
Cuatro Vientos,4673.53
Delicias,5426.01
El Cañaveral,4587.55
El Goloso,7247.17
El Pardo,3704.98
El Plantío,5946.59
El Salvador,4735.53
El Viso,9382.09
Embajadores,6054.75
Ensanche de Vallecas,3552.31
Entrevías,2430.16
Estrella,6590.79
Fontarrón,3770.04
Fuencarral-El Pardo,5417.12
Fuente del Berro,7598.53
Fuentelarreina,5341.25
Gaztambide,7413.6
Goya,9638.66
Guindalera,6722.25
Hellín,2498.86
Hispanoamérica,7860.68
Horcajo,4736.6
Hortaleza,5079.71
Ibiza,9264.05
Imperial,5855.12
Justicia,9541.9
La Concepción,5658.13
La Paz,5106.44
Latina,3534.13
Legazpi,7113.37
Lista,10066.56
Los Cármenes,3502.59
Los Jerónimos,9950.49
Los Rosales,2807.4
Lucero,3310.43
Marroquina,4301.17
Media Legua,3876.72
Mirasierra,6402.83
Moncloa-Aravaca,5869.93
Moratalaz,3997.38
Moscardó,3739.18
Niño Jesús,7639.04
Nueva España,8183.21
Numancia,3239.46
Opañel,3500.89
Orcasitas,2357.51
Orcasur,3403.28
Pacífico,6286.22
Palacio,6895.15
Palomas,5435.02
Palomeras Bajas,2985.52
Palomeras Sureste,2701.36
Palos de la Frontera,5784.65
Pavones,3721.75
Peñagrande,5467.26
Pilar,5064.58
Pinar del Rey,4266.54
Piovera,6502.07
Portazgo,2703.76
Pradolongo,3390.16
Prosperidad,6448.55
Pueblo Nuevo,3794.82
Puente de Vallecas,2928.82
Puerta Bonita,2905.06
Puerta del Ángel,4033.3
Quintana,4436.01
Recoletos,14108.83
Rejas,3580.16
Retiro,7469.32
Rosas,4493.65
Ríos Rosas,7915.16
Salamanca,9405.91
San Blas-Canillejas,3474.52
San Cristóbal,1909.6
San Diego,3078.32
San Fermín,2755.18
San Isidro,3670.03
San Juan Bautista,5764.6
San Pascual,5566.9
Santa Eugenia,2899.99
Simancas,3690.7
Sol,7696.61
Tetuán,5447.04
Timón,4418.93
Trafalgar,8568.41
Universidad,7135.43
Usera,3387.93
Valdeacederas,5274.19
Valdebernardo,4117.97
Valdefuentes,5977.26
Valdemarín,6710.42
Valderrivas,3546.72
Valdezarza,4484.04
Vallehermoso,6752.36
Valverde,4878.72
Ventas,4133.07
Vicálvaro,3841.16
Villa de Vallecas,3278
Villaverde,2649.6
Villaverde Alto. Casco Histórico de Villaverde,2928.26
Vinateros,3899.66
Vista Alegre,3213.22
Zofío,3089.05
Águilas,3231.64
Ángeles,2956.03
